Original file:
C:\Users\Kryolabor\Desktop\131124Joekob\rotes_bls.txt
Date / time: 19.11.2024, 16:07:00
Sample: Rotes Bls
Comments: 8.2 mV
Channel #	Counts	Counts (folded)
    857	  19325	      0
    858	  19579	      0
    859	  19406	      0
    860	  19528	      0
    861	  19384	      0
    862	  19470	      0
    863	  19553	      0
    864	  19350	      0
    865	  19472	      0
    866	  19296	      0
    867	  19591	      0
    868	  19488	      0
    869	  19514	      0
    870	  19727	      0
    871	  19391	      0
    872	  19472	      0
    873	  19618	      0
    874	  19525	      0
    875	  19459	      0
    876	  19452	      0
    877	  19328	      0
    878	  19477	      0
    879	  19395	      0
    880	  19426	      0
    881	  19362	      0
    882	  19579	      0
    883	  19414	      0
    884	  19686	      0
    885	  19622	      0
    886	  19238	      0
    887	  19566	      0
    888	  19363	      0
    889	  19576	      0
    890	  19458	      0
    891	  19858	      0
    892	  19572	      0
    893	  19454	      0
    894	  19687	      0
    895	  19415	      0
    896	  19650	      0
    897	  19610	      0
    898	  19464	      0
    899	  19713	      0
    900	  19709	      0
    901	  19596	      0
    902	  19522	      0
    903	  19327	      0
    904	  19613	      0
    905	  19620	      0
    906	  19317	      0
    907	  19707	      0
    908	  19220	      0
    909	  19724	      0
    910	  19689	      0
    911	  19518	      0
    912	  19529	      0
    913	  19538	      0
    914	  19480	      0
    915	  19641	      0
    916	  19386	      0
    917	  19460	      0
    918	  19757	      0
    919	  19358	      0
    920	  19703	      0
    921	  19676	      0
    922	  19464	      0
    923	  19479	      0
    924	  19395	      0
    925	  19305	      0
    926	  19459	      0
    927	  19634	      0
    928	  19453	      0
    929	  19366	      0
    930	  19454	      0
    931	  19539	      0
    932	  19702	      0
    933	  19541	      0
    934	  19552	      0
    935	  19695	      0
    936	  19680	      0
    937	  19519	      0
    938	  19409	      0
    939	  19200	      0
    940	  19481	      0
    941	  19301	      0
    942	  19429	      0
    943	  19746	      0
    944	  19589	      0
    945	  19550	      0
    946	  19622	      0
    947	  19401	      0
    948	  19482	      0
    949	  19475	      0
    950	  19614	      0
    951	  19682	      0
    952	  19568	      0
    953	  19407	      0
    954	  19434	      0
    955	  19346	      0
    956	  19623	      0
    957	  19806	      0
    958	  19444	      0
    959	  19476	      0
    960	  19387	      0
    961	  19620	      0
    962	  19486	      0
    963	  19668	      0
    964	  19788	      0
    965	  19591	      0
    966	  19647	      0
    967	  19455	      0
    968	  19586	      0
    969	  19492	      0
    970	  19458	      0
    971	  19628	      0
    972	  19621	      0
    973	  19727	      0
    974	  19509	      0
    975	  19693	      0
    976	  19652	      0
    977	  19727	      0
    978	  19346	      0
    979	  19389	      0
    980	  19645	      0
    981	  19661	      0
    982	  19629	      0
    983	  19684	      0
    984	  19587	      0
    985	  19800	      0
    986	  19528	      0
    987	  19581	      0
    988	  19571	      0
    989	  19647	      0
    990	  19167	      0
    991	  19699	      0
    992	  19559	      0
    993	  19531	      0
    994	  19538	      0
    995	  19654	      0
    996	  19758	      0
    997	  19423	      0
    998	  19507	      0
    999	  19389	      0
   1000	  19852	      0
   1001	  19723	      0
   1002	  19610	      0
   1003	  19265	      0
   1004	  19586	      0
   1005	  19612	      0
   1006	  19624	      0
   1007	  19744	      0
   1008	  19602	      0
   1009	  19523	      0
   1010	  19387	      0
   1011	  19470	      0
   1012	  19628	      0
   1013	  19508	      0
   1014	  19344	      0
   1015	  19517	      0
   1016	  19650	      0
   1017	  19597	      0
   1018	  19548	      0
   1019	  19684	      0
   1020	  19569	      0
   1021	  19595	      0
   1022	  19886	      0
   1023	  19624	      0
